Year,Country,University_Count
2011,Australia,7
2011,Austria,2
2011,Belgium,2
2011,Brazil,1
2011,Canada,9
2011,China,6
2011,Denmark,3
2011,Finland,1
2011,France,4
2011,Germany,14
2011,Hong Kong,4
2011,Japan,5
2011,Netherlands,10
2011,New Zealand,1
2011,Norway,1
2011,Republic of Ireland,2
2011,Singapore,2
2011,South Africa,1
2011,South Korea,4
2011,Spain,2
2011,Sweden,6
2011,Switzerland,6
2011,Taiwan,4
2011,Turkey,2
2011,United Kingdom,29
2011,United States of America,72
2012,Australia,7
2012,Austria,1
2012,Belgium,3
2012,Brazil,1
2012,Canada,9
2012,China,3
2012,Denmark,3
2012,Finland,1
2012,France,5
2012,Germany,12
2012,Hong Kong,4
2012,Israel,2
2012,Japan,5
2012,Netherlands,12
2012,New Zealand,1
2012,Norway,2
2012,Republic of Ireland,2
2012,Singapore,2
2012,South Africa,1
2012,South Korea,3
2012,Spain,1
2012,Sweden,5
2012,Switzerland,7
2012,Taiwan,1
2012,United Kingdom,32
2012,United States of America,75
2013,Australia,8
2013,Austria,1
2013,Belgium,4
2013,Brazil,1
2013,Canada,8
2013,China,2
2013,Denmark,3
2013,Finland,1
2013,France,7
2013,Germany,11
2013,Hong Kong,4
2013,Israel,3
2013,Japan,5
2013,Netherlands,10
2013,New Zealand,2
2013,Norway,1
2013,Republic of Ireland,2
2013,Singapore,2
2013,South Africa,1
2013,South Korea,3
2013,Spain,1
2013,Sweden,5
2013,Switzerland,7
2013,Taiwan,1
2013,United Kingdom,31
2013,United States of America,76
2014,Australia,7
2014,Austria,1
2014,Belgium,5
2014,Canada,7
2014,China,2
2014,Denmark,3
2014,Finland,1
2014,France,8
2014,Germany,10
2014,Hong Kong,3
2014,Israel,2
2014,Japan,5
2014,Netherlands,12
2014,New Zealand,1
2014,Norway,1
2014,Republic of Ireland,2
2014,Singapore,2
2014,South Africa,1
2014,South Korea,4
2014,Spain,1
2014,Sweden,5
2014,Switzerland,7
2014,Taiwan,1
2014,Turkey,1
2014,United Kingdom,31
2014,United States of America,77
2015,Australia,8
2015,Austria,1
2015,Belgium,4
2015,Canada,9
2015,China,3
2015,Denmark,3
2015,Finland,1
2015,France,7
2015,Germany,12
2015,Hong Kong,4
2015,Israel,1
2015,Italy,1
2015,Japan,5
2015,Netherlands,11
2015,New Zealand,1
2015,Norway,1
2015,Republic of Ireland,1
2015,Singapore,2
2015,South Africa,1
2015,South Korea,4
2015,Spain,1
2015,Sweden,5
2015,Switzerland,7
2015,Taiwan,5
2015,United Kingdom,29
2015,United States of America,73
2016,Australia,8
2016,Austria,1
2016,Belgium,4
2016,Brazil,1
2016,Canada,7
2016,China,2
2016,Denmark,3
2016,Finland,1
2016,France,5
2016,Germany,20
2016,Hong Kong,3
2016,Israel,1
2016,Japan,5
2016,Netherlands,13
2016,New Zealand,1
2016,Norway,2
2016,Republic of Ireland,2
2016,Singapore,3
2016,South Africa,1
2016,South Korea,4
2016,Spain,2
2016,Sweden,6
2016,Switzerland,7
2016,Taiwan,1
2016,United Kingdom,34
2016,United States of America,63
