world_rank_grade,university_name,country,teaching_score,international_score,research_score,citations_score,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
1,Harvard University,USA,99.7,72.4,98.7,98.8,96.1,20152,8.9,25,34,2011
1,California Institute of Technology,USA,97.7,54.6,98,99.9,96,2243,6.9,27,33,2011
1,Massachusetts Institute of Technology,USA,97.8,82.3,91.4,99.9,95.6,11074,9,33,37,2011
1,Stanford University,USA,98.3,29.5,98.1,99.2,94.3,15596,7.8,22,42,2011
1,Princeton University,USA,90.9,70.3,95.4,99.9,94.2,7929,8.4,27,45,2011
1,University of Cambridge,UK,90.5,77.7,94.1,94,91.2,18812,11.8,34,46,2011
1,University of Oxford,UK,88.2,77.2,93.9,95.1,91.2,19919,11.6,34,46,2011
1,"University of California, Berkeley",USA,84.2,39.6,99.3,97.8,91.1,36186,16.4,15,50,2011
1,Imperial College London,UK,89.2,90,94.5,88.3,90.6,15060,11.7,51,37,2011
1,Yale University,USA,92.1,59.2,89.7,91.5,89.5,11751,4.4,20,50,2011
1,"University of California, Los Angeles",USA,83,48.1,92.9,93.2,87.7,38206,10.3,15,52,2011
1,University of Chicago,USA,79.1,62.8,87.9,96.9,86.9,14221,6.9,21,42,2011
1,Johns Hopkins University,USA,80.9,58.5,89.2,92.3,86.4,15128,3.6,23,50,2011
1,Cornell University,USA,82.2,62.4,88.8,88.1,83.9,21424,10.2,19,48,2011
1,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77.5,93.7,87.8,83.1,83.4,18178,14.7,37,31,2011
1,University of Michigan,USA,83.9,53.3,89.1,84.1,83.4,41786,9,16,48,2011
1,University of Toronto,Canada,75.8,64.5,87.9,82.2,82,66198,19.5,15,33,2011
1,Columbia University,USA,73.8,90.9,73.8,92.6,81,25055,5.9,28,45,2011
1,University of Pennsylvania,USA,71.8,32.9,82.7,93.6,79.5,20376,6.5,20,51,2011
1,Carnegie Mellon University,USA,70.3,39.1,79.3,95.7,79.3,11885,13.1,35,39,2011
1,University of Hong Kong,HongKong,68.4,91.4,71.4,96.1,79.2,19835,17.6,38,53,2011
1,University College London,UK,74,90.8,81.6,80.6,78.4,26607,10.7,46,56,2011
1,University of Washington,USA,68.2,49,77.1,95.9,78,44020,11.8,13,53,2011
1,Duke University,USA,66.8,49.4,71.5,92.3,76.5,15172,4.8,17,49,2011
1,Northwestern University,USA,64.5,60.5,68.8,95.3,75.9,18334,13.8,15,48,2011
2,University of Tokyo,Japan,87.7,18.4,91.9,58.1,75.6,26199,5.7,10,36,2011
2,Georgia Institute of Technology,USA,67.9,73.2,72.6,83.2,75.3,19967,20.1,26,31,2011
2,Pohang University of Science and Technology,SouthKorea,69.5,32.6,62.5,96.5,75.1,3055,10.1,4,34,2011
2,"University of California, Santa Barbara",USA,56.6,64.3,68,98.8,75,22020,27.3,11,52,2011
2,University of British Columbia,Canada,65.1,93.3,74.8,80.3,73.8,50152,17.6,25,54,2011
2,University of North Carolina at Chapel Hill,USA,70.9,21.5,75.1,85,73.8,26518,7.3,8,58,2011
2,"University of California, San Diego",USA,59.8,31.6,76.3,90.8,73.2,27233,6.5,11,48,2011
2,University of Illinois at Urbana-Champaign,USA,68.1,55.9,80.9,72.9,73,42727,18.7,20,47,2011
2,National University of Singapore,Singapore,65.5,97.8,72.6,78.7,72.9,31592,15.5,34,49,2011
2,McGill University,Canada,69,85.9,74.9,69,71.7,31326,13.7,23,56,2011
