world_rank_grade,university_name,country,teaching_score,international_score,research_score,citations_score,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
1,University of Oxford,United Kingdom,86.5,94.4,98.9,98.8,88.3,19919,11.6,34,40,2016
1,University of Cambridge,United Kingdom,88.2,91.5,96.7,97,88.1,18812,11.8,34,40,2016
1,Imperial College London,United Kingdom,83.3,96,88.5,96.7,87.7,15060,11.7,51,37,2016
1,University College London,United Kingdom,78.1,94.4,91,94.2,87.1,26607,10.7,46,50,2016
1,London School of Economics and Political Science,United Kingdom,69.8,93.6,80.6,94.3,86.2,30476,22.7,12,34,2016
1,University of Edinburgh,United Kingdom,68.6,89.8,77.2,96.3,86.1,25774,14.1,36,52,2016
2,King’s College London,United Kingdom,64.5,93.8,75.8,93.8,85.8,21394,11.4,37,55,2016
3,University of Manchester,United Kingdom,58.4,87,66,77.3,82.9,34938,15.3,34,46,2016
3,University of Bristol,United Kingdom,47.6,82.4,51.6,91.2,81.6,17906,14,25,47,2016
3,Durham University,United Kingdom,47.9,86.4,51.9,87.7,81.5,15489,15.7,24,48,2016
4,University of Glasgow,United Kingdom,41.6,85.8,48.3,92.3,80.9,22616,16,29,51,2016
4,University of Warwick,United Kingdom,47.4,90.3,53.1,78.2,80.5,18529,16.6,37,42,2016
4,University of St Andrews,United Kingdom,49.7,92.3,47.3,78.8,79.9,8338,12.7,47,50,2016
4,University of Exeter,United Kingdom,39.4,87.3,40,94.3,79.2,17755,18.8,28,48,2016
4,University of Sheffield,United Kingdom,42.4,81.9,48.8,80.1,78.8,23311,15.5,31,44,2016
4,Queen Mary University of London,United Kingdom,34.1,93.5,41.3,93.3,78.7,14260,14,40,46,2016
5,University of Southampton,United Kingdom,39.8,88.4,43.6,82,77.3,20925,13.5,29,47,2016
5,University of Birmingham,United Kingdom,39.4,82,41.8,82.7,76.5,25295,16.4,23,48,2016
6,"Royal Holloway, University of London",United Kingdom,35.1,92.7,33.2,91.2,75.5,8747,15.9,37,51,2016
6,Lancaster University,United Kingdom,34,87,41.4,85.3,75.4,11512,14.9,33,46,2016
6,University of York,United Kingdom,41.9,83.5,46.3,73.1,75.2,28754,45.8,23,34,2016
6,University of Leeds,United Kingdom,43.7,77.4,39,79.2,75,27703,14.7,21,52,2016
6,University of Sussex,United Kingdom,33.4,88.3,37.2,86.1,74.4,12001,17.4,35,48,2016
6,University of Nottingham,United Kingdom,40.3,80.6,39,77.5,74.1,30144,15,27,48,2016
7,University of East Anglia,United Kingdom,31.9,83.5,28.7,92.7,73.4,14992,14.7,28,52,2016
7,University of Liverpool,United Kingdom,32.8,85.4,30.9,85.9,72.8,18815,13.6,30,46,2016
7,University of Reading,United Kingdom,39.3,85.1,37.3,69.9,72,12050,14.8,28,49,2016
7,University of Leicester,United Kingdom,32.1,86.6,27.8,86,71.7,14541,13.4,35,48,2016
7,University of Aberdeen,United Kingdom,29.7,91.4,31.4,82.6,71.3,12938,15.8,33,48,2016
8,Cardiff University,United Kingdom,30.9,78.1,31.6,82,70,23347,13.1,23,51,2016
8,University of Dundee,United Kingdom,25.6,78.5,26.9,90.2,69.4,11628,15.3,25,54,2016
8,Newcastle University,United Kingdom,30.9,84.3,27.5,81.5,67.4,20174,15.2,29,44,2016
8,"St George’s, University of London",United Kingdom,25.6,69.5,18.1,100,67.2,2958,13.4,17,55,2016
8,Queen’s University Belfast,United Kingdom,34.1,93.4,33.3,68.9,66.6,17940,17.9,30,48,2016
